year,statefp,puma5ce,lgbt_nonprofits,state
2009,12,08617,0.8792924037460986,Florida
2009,12,08620,0.00260145681581685,Florida
2009,12,09505,5.532491259200457,Florida
2009,12,09507,0.6576388096595273,Florida
2009,12,09508,0.5807192042846209,Florida
2009,12,09701,1,Florida
2009,12,09901,2.0000000000000004,Florida
2009,12,09903,1.874794685110226,Florida
2009,12,09904,0.12520531488977404,Florida
2009,12,09905,1,Florida
2009,12,10304,0.5262172284644199,Florida
2009,12,10305,0.4737827715355804,Florida
2009,12,10306,1,Florida
2009,12,10307,2,Florida
2009,12,11501,2.999999999999999,Florida
2009,12,11703,0.225707727620505,Florida
2009,12,11704,0.00344299923488906,Florida
2009,13,01003,0.00503461296412838,Georgia
2009,13,01006,2,Georgia
2009,13,01007,6.372959090075216,Georgia
2009,13,01700,1,Georgia
2009,13,01800,0,Georgia
2009,13,02002,1.8430128522741813,Georgia
2009,13,02003,1.4879219225641007,Georgia
2009,13,02004,1.2961061350865026,Georgia
2009,13,03001,0.8853841349156771,Georgia
2009,13,03005,0.11461586508432223,Georgia
2009,13,03200,1,Georgia
2009,13,03400,0,Georgia
2009,13,04600,1.9949653870358715,Georgia
2009,17,01300,1.9999999999999993,Illinois
2009,17,02100,1,Illinois
2009,17,03202,0,Illinois
2009,17,03203,0.43516934656175155,Illinois
2009,17,03209,0.5648306534382473,Illinois
2009,17,03421,0.9999999999999999,Illinois
2009,17,03501,3.8814797443627747,Illinois
2009,17,03502,7.437515140017803,Illinois
2009,17,03503,1.6810051156194206,Illinois
2009,17,03504,0.6330402591392875,Illinois
2009,17,03520,0.9578898658028696,Illinois
2009,17,03521,0.2508098102730218,Illinois
2009,17,03522,0.15826006478482196,Illinois
2009,17,03524,0.9999999999999998,Illinois
2009,18,02302,1.5114006514657976,Indiana
2009,18,02303,0.4885993485342024,Indiana
2009,18,02305,2,Indiana
2009,19,00800,1,Iowa
2009,19,01200,0.9999999999999997,Iowa
2009,19,01500,0.0138121546961326,Iowa
2009,19,01700,6.986187845303866,Iowa
2009,19,02100,1,Iowa
2009,21,01000,4,Kentucky
2009,21,01702,1.0000000000000007,Kentucky
2009,21,01705,1,Kentucky
2009,21,01901,2.0000000000000018,Kentucky
2009,21,01902,1,Kentucky
2009,21,02000,0.997916666666666,Kentucky
2009,21,02100,0.00208333333333333,Kentucky
2009,22,00400,1.0000000000000004,Louisiana
2009,22,02401,2.0813148788927336,Louisiana
2009,22,02402,0.9186851211072663,Louisiana
2009,23,01000,5,Maine
2009,24,00801,0.003112840466926072,Maryland
2009,24,00802,0.21582360570687412,Maryland
2009,24,00804,3.5725032425421515,Maryland
2009,24,00805,0.2085603112840467,Maryland
2009,24,01004,0.9894242068155118,Maryland
2009,24,01007,0.0105757931844888,Maryland
2009,24,01103,0.9999999999999997,Maryland
2009,24,01106,0.9999999999999994,Maryland
2009,24,01600,0,Maryland
2009,25,00301,0.9858247422680404,Massachusetts
2009,25,00400,0.0141752577319588,Massachusetts
2009,25,00503,2,Massachusetts
2009,25,00506,5.000000000000001,Massachusetts
2009,25,00507,0.057471264367816,Massachusetts
2009,25,00508,1.9425287356321832,Massachusetts
2009,25,03301,3.16577540106952,Massachusetts
2009,25,03302,23.66495710193198,Massachusetts
2009,25,03303,0.06900958466453669,Massachusetts
2009,25,03304,0.9355438615082027,Massachusetts
2009,25,03305,1.8744161134690112,Massachusetts
2009,25,03400,1.290297937356761,Massachusetts
2009,25,04700,0.9992211838006227,Massachusetts
2009,25,04800,2.000778816199377,Massachusetts
2009,26,01001,0.003176620076238876,Michigan
2009,26,01002,3.7445609364848447,Michigan
2009,26,01003,0.2522624434389139,Michigan
2009,26,01801,2.0000000000000004,Michigan
2009,26,01802,1,Michigan
2009,26,02102,0.9999999999999994,Michigan
2009,26,02906,0.9999999999999998,Michigan
2009,26,02907,0,Michigan
2009,26,02908,2.009252120277563,Michigan
2009,26,03208,2,Michigan
2009,26,03209,0.11102544333076321,Michigan
2009,26,03210,0.8650732459521973,Michigan
2009,26,03211,1.2267704716847714,Michigan
2009,26,03212,0.7840236686390522,Michigan
2009,26,03213,1.003855050115651,Michigan
2009,27,00500,0.9999999999999992,Minnesota
2009,27,01304,5.999999999999999,Minnesota
2009,27,01405,3.023460410557184,Minnesota
2009,27,01406,6.328441631556736,Minnesota
2009,27,01407,8.648097957886078,Minnesota
2009,27,01410,1,Minnesota
2009,29,00500,0.0428942807625651,Missouri
2009,29,00600,2.9571057192374335,Missouri
2009,29,01001,3,Missouri
2009,29,01803,1.0266524520255855,Missouri
2009,29,01805,2.540725135552153,Missouri
2009,29,01807,0.247121346324181,Missouri
2009,29,01901,1.0636365416212676,Missouri
2009,29,01902,3.121864524476812,Missouri
2009,29,02602,1,Missouri
2009,29,02800,0.9999999999999997,Missouri
2009,32,00405,0.8630034584943604,Nevada
2009,32,00406,0.5656847989679638,Nevada
2009,32,00409,0.35616931375206784,Nevada
2009,32,00410,0.21514242878560708,Nevada
2009,32,00413,1,Nevada
2009,34,00306,1.9999999999999998,New Jersey
2009,34,00601,1.6389233954451337,New Jersey
2009,34,00602,0.3610766045548655,New Jersey
2009,34,00902,0.21461824953445033,New Jersey
2009,34,00906,1,New Jersey
2009,34,01002,0.1587523277467412,New Jersey
2009,34,01301,0.9621642073401433,New Jersey
2009,34,01302,0.037835792659856246,New Jersey
2009,34,01402,0.0017730496453900709,New Jersey
2009,34,01403,2.9982269503546126,New Jersey
2009,34,01502,0,New Jersey
2009,34,01503,9.55109837631328e-4,New Jersey
2009,34,01504,0.9990448901623696,New Jersey
2009,34,02301,1.5880341880341902,New Jersey
2009,34,02302,3.0351764312658154,New Jersey
2009,34,02303,0.00341880341880342,New Jersey
2009,34,02600,0.9999999999999997,New Jersey
2009,35,00802,0.9294270833333336,New Mexico
2009,35,00803,0.02083333333333331,New Mexico
2009,35,00804,4.049739583333332,New Mexico
2009,36,00300,3.0000000000000004,New York
2009,36,00701,4.98989898989899,New York
2009,36,00703,0.010101010101010104,New York
2009,36,00902,7.775360553228698,New York
2009,36,00903,2.012682925032174,New York
2009,36,00906,0.2119565217391304,New York
2009,36,01205,2.591955341437578,New York
2009,36,01206,4.408044658562421,New York
2009,36,02001,3.9999999999999982,New York
2009,36,02701,0.00236873272799052,New York
2009,36,02702,1.9976312672720096,New York
2009,36,02801,0.02594514455151963,New York
2009,36,02802,0.9740548554484796,New York
2009,36,03103,0.317142857142857,New York
2009,36,03105,2.6828571428571424,New York
2009,36,03207,0.13470319634703193,New York
2009,36,03209,0.8652968036529685,New York
2009,36,03305,1,New York
2009,36,03306,0.00248756218905473,New York
2009,36,03307,0.1912408759124088,New York
2009,36,03308,0.8087591240875921,New York
2009,36,03309,0.997512437810945,New York
2009,36,03310,0.9375775113683333,New York
2009,36,03311,4.0624224886316656,New York
2009,36,03710,2,New York
2009,36,03802,1.0962884306091145,New York
2009,36,03805,0.0935470498825481,New York
2009,36,03806,4.413290113452186,New York
2009,36,03807,35.57106883273779,New York
2009,36,03808,2.6576201216533484,New York
2009,36,03809,2.412190835568295,New York
2009,36,03810,31.755994616096704,New York
2009,36,03902,0.003424657534246576,New York
2009,36,03903,1.9965753424657535,New York
2009,36,04004,8.312088679409968,New York
2009,36,04005,2.3055919129582434,New York
2009,36,04006,0.2783625730994152,New York
2009,36,04012,1.9081057057953386,New York
2009,36,04013,0.19219035997559494,New York
2009,36,04014,0.0036607687614399003,New York
2009,36,04018,2.0000000000000004,New York
2009,36,04102,1.612366230677764,New York
2009,36,04107,0.28775267538644483,New York
2009,36,04109,0.0998810939357907,New York
2009,37,01201,4,North Carolina
2009,37,01701,2.9790842283776144,North Carolina
2009,37,01702,0.0209157716223855,North Carolina
2009,37,01802,1,North Carolina
2009,37,02000,1,North Carolina
2009,37,02201,0.8864864864864871,North Carolina
2009,37,02202,0.101801801801802,North Carolina
2009,37,02500,0.0117117117117117,North Carolina
2009,37,03101,2.8399846508058326,North Carolina
2009,37,03103,1.1600153491941672,North Carolina
2009,37,03105,1,North Carolina
2009,39,00902,0.9735421166306696,Ohio
2009,39,00904,0.0203562340966922,Ohio
2009,39,00905,1.5800573298740315,Ohio
2009,39,00906,4.425360792399292,Ohio
2009,39,00907,6.83526999316473e-4,Ohio
2009,39,04102,0.1573226544622425,Ohio
2009,39,04104,2.0863681523164246,Ohio
2009,39,04105,5.179379700167799,Ohio
2009,39,04106,0.2664974619289341,Ohio
2009,39,04107,2.1428282256987514,Ohio
2009,39,04108,0.0198123044838373,Ohio
2009,39,04110,0.1477915009420138,Ohio
2009,39,04603,1,Ohio
2009,39,04700,1,Ohio
2009,39,05504,3,Ohio
2009,40,01006,2,Oklahoma
2009,40,01201,3.0000000000000004,Oklahoma
2009,41,00703,1.0000000000000002,Oregon
2009,41,00705,0,Oregon
2009,41,01301,1.9042627533193568,Oregon
2009,41,01302,0.0957372466806429,Oregon
2009,41,01314,7.999999999999999,Oregon
2009,42,00500,1.9999999999999991,Pennsylvania
