state,year,same_sex,coef,_se
Illinois,2008,TRUE,0.00152212243099589,4.995036999642876e-4
Illinois,2009,TRUE,0.00482051920120289,0.00106345973754406
Illinois,2010,TRUE,0.00299143000797448,6.860247560255675e-4
Illinois,2011,TRUE,0.00332783345517941,8.964741857085463e-4
Illinois,2012,TRUE,0.00288591613326514,7.85389990594681e-4
Illinois,2013,TRUE,0.00633803306683773,0.00113543208354172
Illinois,2014,TRUE,0.00689486069822581,0.00140399851898621
Illinois,2015,TRUE,0.00833124711887104,0.00151162325230991
Illinois,2016,TRUE,0.00942568931748787,0.0018133693369172
Illinois,2017,TRUE,0.00764287636527768,0.00136672989999362
Illinois,2018,TRUE,0.00854486186351358,0.00154904483722016
Illinois,2019,TRUE,0.00588751196421877,0.00141593872976083
Illinois,2021,TRUE,0.01208878250311196,0.00179965115381365
Illinois,2022,TRUE,0.01080953789008864,0.00196187672583989
Indiana,2008,FALSE,0,0
Indiana,2009,TRUE,0.00713557599809061,0.00293245424742977
Indiana,2010,TRUE,0.00224542839613604,0.00224222578411041
Indiana,2011,TRUE,0.00307514498725852,0.00192199204006114
Indiana,2012,TRUE,0.00446295745314185,0.00272993992864768
Indiana,2013,TRUE,0.00792847669634767,0.00351138136927613
Indiana,2014,TRUE,0.00672714212344346,0.00256683347261932
Indiana,2015,TRUE,0.00575857649860106,0.00243628778598299
Indiana,2016,TRUE,0.00688538247268909,0.00376904264141867
Indiana,2017,TRUE,0.00259646267415434,0.0015611218628928
Indiana,2018,TRUE,0.0054449959042067,0.0021970556195468
Indiana,2019,TRUE,0.00272405570687569,0.00168794649228474
Indiana,2021,TRUE,0.00680523014391055,0.00306088114292297
Indiana,2022,TRUE,0.00573840041441926,0.00197513304323129
Iowa,2008,TRUE,0.00577154073770255,0.00409382134223495
Iowa,2009,FALSE,0,0
Iowa,2010,FALSE,0,0
Iowa,2011,TRUE,0.0012051096650152,0.00120832387533721
Iowa,2012,FALSE,0,0
Iowa,2013,TRUE,0.00840366573704562,0.0066497664066226
Iowa,2014,FALSE,0,0
Iowa,2015,TRUE,0.0128829503829505,0.01275824825183976
Iowa,2016,TRUE,0.00772794969430448,0.00545242116183668
Iowa,2017,TRUE,0.01253107054084178,0.00592872199004018
Iowa,2018,TRUE,0.01219359484081022,0.00701915631674934
Iowa,2019,TRUE,0.01224942477363388,0.00575927938387389
Iowa,2021,TRUE,0.01951058201463864,0.0084295233922984
Iowa,2022,FALSE,0,0
Kansas,2008,FALSE,0,0
Kansas,2009,TRUE,0.00104902746564782,0.00104939515019187
Kansas,2010,TRUE,0.01152867428004449,0.00762572252014872
Kansas,2011,TRUE,0.01434500607571772,0.00809050345948155
Kansas,2012,TRUE,0.00251130087334737,0.0017774148194541
Kansas,2013,TRUE,0.00960740841312995,0.00412980072905952
Kansas,2014,FALSE,0,0
Kansas,2015,TRUE,0.00220235955139607,0.00128378580437461
Kansas,2016,TRUE,0.01068446969196285,0.00454760378468123
Kansas,2017,TRUE,0.00848026623173433,0.00628325287281185
Kansas,2018,TRUE,0.00706003231200996,0.00357614720174603
Kansas,2019,TRUE,0.00460998196683565,0.0032561488720114
Kansas,2021,TRUE,0.00616118328000476,0.00307453265600337
Kansas,2022,TRUE,0.00763572027767075,0.00468448279096576
Kentucky,2008,FALSE,0,0
Kentucky,2009,TRUE,0.00105232519513385,0.00105316848262391
Kentucky,2010,TRUE,5.496075801952196e-4,5.503214111949017e-4
Kentucky,2011,TRUE,0.00698994241276529,0.00393017072165779
Kentucky,2012,TRUE,0.00383455493202944,0.0027220969264397
Kentucky,2013,TRUE,0.00882358546402875,0.00380371078529932
Kentucky,2014,TRUE,0.00678787885383616,0.00509954175449248
Kentucky,2015,FALSE,0,0
Kentucky,2016,TRUE,0.00245624812388512,0.00177963606720743
Kentucky,2017,TRUE,0.01265882426850776,0.00512121225267921
Kentucky,2018,TRUE,0.01326325010950598,0.0078497058998509
Kentucky,2019,TRUE,0.00436593952251785,0.00260607777549324
Kentucky,2021,TRUE,0.01047129134842171,0.00492461003553791
Kentucky,2022,TRUE,0.00472036428535784,0.00176963347535796
Louisiana,2008,TRUE,0.00228090906592652,0.00228068548906687
Louisiana,2009,TRUE,0.00561349012647023,0.00306758781178765
Louisiana,2010,TRUE,0.0034736695860824,0.00246623941334399
