bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Canada,Arizona,2008,3785,0,33101,15000,2007.3851584436422
Canada,Arizona,2009,2446,0,37911,15000,2008.3995349918623
Canada,Arizona,2010,4004,0,32631,15000,2009.4210251046024
Canada,Arizona,2011,3939,0,35716,15000,2010.4264075692647
Canada,Arizona,2012,5763,0,44057,15000,2011.4037884538916
Canada,Arizona,2013,4582,0,45873,15000,2012.4459931622648
Canada,Arizona,2014,3486,0,43543,15000,2013.3600231127987
Canada,Arizona,2015,8415,221,38136,15000,2014.475281210943
Canada,Arizona,2016,8325,0,40442,15000,2015.4737836445274
Canada,Arizona,2017,7850,0,42280,15000,2016.4975922526405
Canada,Arizona,2018,7132,0,42736,15000,2017.4850823729805
Canada,Arizona,2019,6296,0,40676,15000,2018.4991384615385
Canada,Colorado,2009,256,0,13955,15000,2008.3995349918623
Canada,Colorado,2010,1056,0,17177,15000,2009.4210251046024
Canada,Colorado,2011,224,0,10722,15000,2010.4264075692647
Canada,Colorado,2012,829,0,15124,15000,2011.4037884538916
Canada,Colorado,2013,109,0,18057,15000,2012.4459931622648
Canada,Colorado,2014,579,0,14572,15000,2013.3600231127987
Canada,Colorado,2015,356,0,14297,15000,2014.475281210943
Canada,Colorado,2017,342,0,14451,15000,2016.4975922526405
Canada,Colorado,2018,256,0,15408,15000,2017.4850823729805
Canada,Colorado,2019,595,0,13780,15000,2018.4991384615385
Canada,Idaho,2013,22,0,4462,15000,2012.4459931622648
Canada,Idaho,2018,179,0,5772,15000,2017.4850823729805
Canada,Idaho,2019,54,0,6813,15000,2018.4991384615385
Canada,Montana,2009,95,0,4471,15000,2008.3995349918623
Canada,Montana,2010,296,0,4741,15000,2009.4210251046024
Canada,Montana,2015,24,0,5605,15000,2014.475281210943
Canada,Montana,2016,19,0,3801,15000,2015.4737836445274
Canada,Montana,2018,70,0,3635,15000,2017.4850823729805
Canada,Nevada,2008,143,0,9743,15000,2007.3851584436422
Canada,Nevada,2009,225,0,10749,15000,2008.3995349918623
Canada,Nevada,2010,221,0,8446,15000,2009.4210251046024
Canada,Nevada,2011,130,0,9347,15000,2010.4264075692647
Canada,Nevada,2012,217,0,8766,15000,2011.4037884538916
Canada,Nevada,2014,176,0,8739,15000,2013.3600231127987
Canada,Nevada,2015,69,0,8625,15000,2014.475281210943
Canada,Nevada,2016,510,0,12617,15000,2015.4737836445274
Canada,Nevada,2017,274,0,10390,15000,2016.4975922526405
Canada,Nevada,2018,195,0,10593,15000,2017.4850823729805
Canada,Nevada,2019,271,0,10106,15000,2018.4991384615385
Canada,New Mexico,2008,482,0,3318,15000,2007.3851584436422
Canada,New Mexico,2016,26,0,2621,15000,2015.4737836445274
Canada,New Mexico,2017,347,0,2601,15000,2016.4975922526405
Canada,New Mexico,2019,60,0,1545,15000,2018.4991384615385
Canada,Utah,2009,430,0,9988,15000,2008.3995349918623
Canada,Utah,2011,104,0,10026,15000,2010.4264075692647
Canada,Utah,2012,166,0,6144,15000,2011.4037884538916
Canada,Utah,2013,472,0,11846,15000,2012.4459931622648
Canada,Utah,2014,93,0,7833,15000,2013.3600231127987
Canada,Utah,2015,1154,0,8494,15000,2014.475281210943
Canada,Utah,2018,203,0,7483,15000,2017.4850823729805
Canada,Utah,2019,67,0,6798,15000,2018.4991384615385
Canada,Wyoming,2009,63,0,1599,15000,2008.3995349918623
Canada,Wyoming,2013,118,0,1040,15000,2012.4459931622648
Canada,Wyoming,2017,100,0,1595,15000,2016.4975922526405
Canada,California,2008,2867,0,133425,15000,2007.3851584436422
Canada,California,2009,3031,0,134072,15000,2008.3995349918623
Canada,California,2010,1319,50,123249,15000,2009.4210251046024
Canada,California,2011,3017,9,115037,15000,2010.4264075692647
Canada,California,2012,4155,0,131868,15000,2011.4037884538916
Canada,California,2013,3174,194,130327,15000,2012.4459931622648
Canada,California,2014,5218,0,136833,15000,2013.3600231127987
Canada,California,2015,6043,197,139297,15000,2014.475281210943
Canada,California,2016,4952,329,122451,15000,2015.4737836445274
Canada,California,2017,3955,0,129416,15000,2016.4975922526405
Canada,California,2018,3894,0,129996,15000,2017.4850823729805
Canada,California,2019,3076,64,126284,15000,2018.4991384615385
Canada,Oregon,2008,197,0,20375,15000,2007.3851584436422
Canada,Oregon,2009,295,0,14552,15000,2008.3995349918623
Canada,Oregon,2010,133,0,15174,15000,2009.4210251046024
Canada,Oregon,2011,152,0,14805,15000,2010.4264075692647
Canada,Oregon,2012,138,0,17311,15000,2011.4037884538916
Canada,Oregon,2013,122,0,15273,15000,2012.4459931622648
Canada,Oregon,2014,160,0,15527,15000,2013.3600231127987
Canada,Oregon,2015,200,0,14080,15000,2014.475281210943
Canada,Oregon,2016,133,0,15820,15000,2015.4737836445274
Canada,Oregon,2019,12,0,15074,15000,2018.4991384615385
Canada,Washington,2008,1152,0,45939,15000,2007.3851584436422
Canada,Washington,2009,867,0,49379,15000,2008.3995349918623
