yrimmig,bpld,n_dif_sex,n_same_sex,n_spouse_dif_sex,n_spouse_same_sex,n_partner_dif_sex,n_partner_same_sex,n_spouse_oneimm_dif_sex,n_spouse_oneimm_same_sex,n_partner_oneimm_dif_sex,n_partner_oneimm_same_sex,n_spouse_adj_dif_sex,n_spouse_adj_same_sex,n_partner_adj_dif_sex,n_partner_adj_same_sex,n_spouse_2019_dif_sex,n_spouse_2019_same_sex,n_spouse_pre_2019_dif_sex,n_spouse_pre_2019_same_sex,n_partner_2019_dif_sex,n_partner_2019_same_sex,n_partner_pre_2019_dif_sex,n_partner_pre_2019_same_sex,n_total,n_spouse,n_partner,bpldid,prop_spouse_same_sex_adj,prop_partner_same_sex_adj,prop_same_sex_adj,prop_dif_sex,prop_spouse_same_sex,prop_partner_same_sex,prop_same_sex,prop_same_sex_oneimm
1938,Poland,2,0,2,0,0,0,0,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,China,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA
1938,Philippines,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,51500,NA,NA,NA,NA,NA,NA,NA,NA
1938,Philippines,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,Iran,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,52200,NA,NA,NA,NA,NA,NA,NA,NA
1938,Iran,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Canada,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA
1939,Mexico,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA
1939,Mexico,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Panama,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,21070,NA,NA,NA,NA,NA,NA,NA,NA
1939,Panama,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
