bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
"Samoa, 1940-1950",Washington,2012,323,0,1051,10010,1984.8428713858425
"Samoa, 1940-1950",Washington,2013,410,0,1455,10010,1988.0581167238843
"Samoa, 1940-1950",Washington,2015,334,0,1066,10010,1986.9757033248081
"Samoa, 1940-1950",Washington,2016,885,0,1932,10010,1986.8374463519312
"Samoa, 1940-1950",Washington,2017,105,0,145,10010,1990.6920281626165
"Samoa, 1940-1950",Washington,2018,399,0,461,10010,1990.1904521768365
"Samoa, 1940-1950",Washington,2019,1088,0,1971,10010,1988.8863432969392
"Samoa, 1940-1950",Alaska,2009,106,0,106,10010,1983.2596861547008
"Samoa, 1940-1950",Alaska,2010,404,0,404,10010,1987.3104357479879
"Samoa, 1940-1950",Alaska,2011,54,0,54,10010,1985.5930656934306
"Samoa, 1940-1950",Alaska,2012,22,0,22,10010,1984.8428713858425
"Samoa, 1940-1950",Alaska,2014,866,0,866,10010,1989.3461109043542
"Samoa, 1940-1950",Alaska,2016,94,0,94,10010,1986.8374463519312
"Samoa, 1940-1950",Alaska,2017,253,0,253,10010,1990.6920281626165
"Samoa, 1940-1950",Alaska,2018,136,0,136,10010,1990.1904521768365
"Samoa, 1940-1950",Alaska,2019,72,0,1688,10010,1988.8863432969392
"Samoa, 1940-1950",Hawaii,2008,1452,0,2559,10010,1984.4574853290048
"Samoa, 1940-1950",Hawaii,2009,2131,0,2788,10010,1983.2596861547008
"Samoa, 1940-1950",Hawaii,2010,1410,0,1752,10010,1987.3104357479879
"Samoa, 1940-1950",Hawaii,2011,1599,0,2608,10010,1985.5930656934306
"Samoa, 1940-1950",Hawaii,2012,1688,0,2275,10010,1984.8428713858425
"Samoa, 1940-1950",Hawaii,2013,254,0,1494,10010,1988.0581167238843
"Samoa, 1940-1950",Hawaii,2014,968,0,2750,10010,1989.3461109043542
"Samoa, 1940-1950",Hawaii,2015,901,0,1583,10010,1986.9757033248081
"Samoa, 1940-1950",Hawaii,2016,619,0,2316,10010,1986.8374463519312
"Samoa, 1940-1950",Hawaii,2017,647,0,989,10010,1990.6920281626165
"Samoa, 1940-1950",Hawaii,2018,546,0,984,10010,1990.1904521768365
"Samoa, 1940-1950",Hawaii,2019,1125,75,2915,10010,1988.8863432969392
Canada,Connecticut,2008,10124,0,18881,15000,1979.7868384579847
Canada,Connecticut,2009,9834,94,16289,15000,1980.7787587106436
Canada,Connecticut,2010,8955,74,14286,15000,1981.1012328237214
Canada,Connecticut,2011,10160,0,15992,15000,1982.1395290236378
Canada,Connecticut,2012,9293,72,13639,15000,1983.9596279163316
Canada,Connecticut,2013,7354,31,13365,15000,1984.4212737325572
Canada,Connecticut,2014,8205,212,14664,15000,1984.698210722445
Canada,Connecticut,2015,7842,208,13259,15000,1986.923500564161
Canada,Connecticut,2016,7422,0,12783,15000,1987.7676053939206
Canada,Connecticut,2017,7339,185,13214,15000,1988.3298099521842
Canada,Connecticut,2018,8838,31,13890,15000,1989.7514870893606
Canada,Connecticut,2019,6916,208,13175,15000,1989.9190372478454
Canada,Maine,2008,8307,102,11786,15000,1979.7868384579847
Canada,Maine,2009,8323,227,13160,15000,1980.7787587106436
Canada,Maine,2010,6862,30,11216,15000,1981.1012328237214
Canada,Maine,2011,7698,144,13085,15000,1982.1395290236378
Canada,Maine,2012,6888,204,11281,15000,1983.9596279163316
Canada,Maine,2013,6507,0,10485,15000,1984.4212737325572
Canada,Maine,2014,5569,118,9783,15000,1984.698210722445
Canada,Maine,2015,5188,0,9123,15000,1986.923500564161
Canada,Maine,2016,7392,0,11395,15000,1987.7676053939206
Canada,Maine,2017,4912,204,7530,15000,1988.3298099521842
Canada,Maine,2018,5722,115,8685,15000,1989.7514870893606
Canada,Maine,2019,6880,29,9938,15000,1989.9190372478454
Canada,Massachusetts,2008,16112,208,31782,15000,1979.7868384579847
Canada,Massachusetts,2009,17163,152,29756,15000,1980.7787587106436
Canada,Massachusetts,2010,19782,71,29790,15000,1981.1012328237214
Canada,Massachusetts,2011,15594,310,29520,15000,1982.1395290236378
Canada,Massachusetts,2012,14947,301,26538,15000,1983.9596279163316
Canada,Massachusetts,2013,21553,167,33755,15000,1984.4212737325572
Canada,Massachusetts,2014,17111,89,29681,15000,1984.698210722445
Canada,Massachusetts,2015,17889,639,36349,15000,1986.923500564161
Canada,Massachusetts,2016,13882,270,27815,15000,1987.7676053939206
Canada,Massachusetts,2017,13533,458,25416,15000,1988.3298099521842
Canada,Massachusetts,2018,17190,147,31631,15000,1989.7514870893606
Canada,Massachusetts,2019,17183,314,27805,15000,1989.9190372478454
Canada,New Hampshire,2008,6814,77,10284,15000,1979.7868384579847
Canada,New Hampshire,2009,6647,74,9303,15000,1980.7787587106436
Canada,New Hampshire,2010,6630,0,10399,15000,1981.1012328237214
Canada,New Hampshire,2011,5903,0,9472,15000,1982.1395290236378
Canada,New Hampshire,2012,6822,0,9983,15000,1983.9596279163316
Canada,New Hampshire,2013,6971,0,11227,15000,1984.4212737325572
Canada,New Hampshire,2014,6191,0,10214,15000,1984.698210722445
Canada,New Hampshire,2015,4432,145,8346,15000,1986.923500564161
Canada,New Hampshire,2016,5688,144,7958,15000,1987.7676053939206
Canada,New Hampshire,2017,5924,0,10157,15000,1988.3298099521842
Canada,New Hampshire,2018,5254,0,7822,15000,1989.7514870893606
Canada,New Hampshire,2019,5424,0,7778,15000,1989.9190372478454
Canada,Rhode Island,2008,2261,0,3929,15000,1979.7868384579847
Canada,Rhode Island,2009,2282,0,4475,15000,1980.7787587106436
Canada,Rhode Island,2010,1114,0,2931,15000,1981.1012328237214
Canada,Rhode Island,2011,1442,50,4006,15000,1982.1395290236378
Canada,Rhode Island,2012,1599,442,2611,15000,1983.9596279163316
Canada,Rhode Island,2013,1193,0,2002,15000,1984.4212737325572
Canada,Rhode Island,2014,725,0,1400,15000,1984.698210722445
Canada,Rhode Island,2015,1500,0,3240,15000,1986.923500564161
Canada,Rhode Island,2016,1848,0,3237,15000,1987.7676053939206
Canada,Rhode Island,2017,851,0,1924,15000,1988.3298099521842
Canada,Rhode Island,2018,1405,0,2999,15000,1989.7514870893606
Canada,Rhode Island,2019,1346,0,1994,15000,1989.9190372478454
Canada,Vermont,2008,3848,0,6188,15000,1979.7868384579847
Canada,Vermont,2009,3795,0,5062,15000,1980.7787587106436
Canada,Vermont,2010,3976,0,6827,15000,1981.1012328237214
Canada,Vermont,2011,3329,99,5656,15000,1982.1395290236378
Canada,Vermont,2012,3507,89,5492,15000,1983.9596279163316
Canada,Vermont,2013,2215,0,3960,15000,1984.4212737325572
Canada,Vermont,2014,1951,0,3354,15000,1984.698210722445
Canada,Vermont,2015,2688,0,4146,15000,1986.923500564161
Canada,Vermont,2016,3510,143,5559,15000,1987.7676053939206
Canada,Vermont,2017,3805,64,4750,15000,1988.3298099521842
Canada,Vermont,2018,4242,100,5936,15000,1989.7514870893606
Canada,Vermont,2019,3630,0,5664,15000,1989.9190372478454
Canada,Delaware,2008,1066,22,1529,15000,1979.7868384579847
Canada,Delaware,2009,1887,0,2445,15000,1980.7787587106436
Canada,Delaware,2010,816,0,940,15000,1981.1012328237214
Canada,Delaware,2011,1154,0,1816,15000,1982.1395290236378
Canada,Delaware,2012,353,0,498,15000,1983.9596279163316
Canada,Delaware,2013,1059,0,1484,15000,1984.4212737325572
Canada,Delaware,2014,779,0,872,15000,1984.698210722445
Canada,Delaware,2015,834,0,1276,15000,1986.923500564161
Canada,Delaware,2016,647,0,893,15000,1987.7676053939206
Canada,Delaware,2017,550,0,1626,15000,1988.3298099521842
Canada,Delaware,2018,435,0,1149,15000,1989.7514870893606
Canada,Delaware,2019,563,0,834,15000,1989.9190372478454
Canada,New Jersey,2008,8384,67,13775,15000,1979.7868384579847
Canada,New Jersey,2009,8264,0,14278,15000,1980.7787587106436
Canada,New Jersey,2010,9778,0,17689,15000,1981.1012328237214
Canada,New Jersey,2011,8930,0,14900,15000,1982.1395290236378
Canada,New Jersey,2012,8042,465,15764,15000,1983.9596279163316
Canada,New Jersey,2013,7459,0,16436,15000,1984.4212737325572
Canada,New Jersey,2014,8924,112,14410,15000,1984.698210722445
Canada,New Jersey,2015,8677,0,14648,15000,1986.923500564161
Canada,New Jersey,2016,9133,301,14927,15000,1987.7676053939206
Canada,New Jersey,2017,9047,0,15423,15000,1988.3298099521842
Canada,New Jersey,2018,8596,134,16349,15000,1989.7514870893606
Canada,New Jersey,2019,10482,0,18574,15000,1989.9190372478454
Canada,New York,2008,30816,800,59728,15000,1979.7868384579847
Canada,New York,2009,31897,198,55169,15000,1980.7787587106436
Canada,New York,2010,29014,305,57498,15000,1981.1012328237214
Canada,New York,2011,26477,444,51438,15000,1982.1395290236378
Canada,New York,2012,28343,330,53985,15000,1983.9596279163316
Canada,New York,2013,29379,724,59860,15000,1984.4212737325572
Canada,New York,2014,31788,712,55306,15000,1984.698210722445
Canada,New York,2015,25793,547,53079,15000,1986.923500564161
Canada,New York,2016,26129,299,55479,15000,1987.7676053939206
Canada,New York,2017,28415,631,48063,15000,1988.3298099521842
Canada,New York,2018,32147,967,58752,15000,1989.7514870893606
Canada,New York,2019,30552,996,54198,15000,1989.9190372478454
Canada,Pennsylvania,2008,8353,216,14094,15000,1979.7868384579847
Canada,Pennsylvania,2009,9863,0,15145,15000,1980.7787587106436
Canada,Pennsylvania,2010,9874,0,16518,15000,1981.1012328237214
Canada,Pennsylvania,2011,9501,46,16663,15000,1982.1395290236378
Canada,Pennsylvania,2012,7897,386,13041,15000,1983.9596279163316
Canada,Pennsylvania,2013,9931,0,15323,15000,1984.4212737325572
Canada,Pennsylvania,2014,7772,103,13034,15000,1984.698210722445
Canada,Pennsylvania,2015,10199,0,15490,15000,1986.923500564161
Canada,Pennsylvania,2016,10140,84,15334,15000,1987.7676053939206
Canada,Pennsylvania,2017,9047,287,16008,15000,1988.3298099521842
Canada,Pennsylvania,2018,9727,121,15140,15000,1989.7514870893606
Canada,Pennsylvania,2019,11928,0,16723,15000,1989.9190372478454
Canada,Illinois,2008,12097,0,18185,15000,1979.7868384579847
Canada,Illinois,2009,10993,81,19049,15000,1980.7787587106436
Canada,Illinois,2010,9399,505,15584,15000,1981.1012328237214
