state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Arizona,2009,FALSE,none,1458225,15983,1458225,15983,FALSE,Arizona_FALSE_none
Arizona,2009,FALSE,one,116022,1190,116022,1190,FALSE,Arizona_FALSE_one
Arizona,2009,FALSE,two,197238,1740,197238,1740,FALSE,Arizona_FALSE_two
Arizona,2009,TRUE,none,21802,247,21802,247,FALSE,Arizona_TRUE_none
Arizona,2009,TRUE,one,1911,24,1911,24,FALSE,Arizona_TRUE_one
Arizona,2009,TRUE,two,1131,8,1131,8,FALSE,Arizona_TRUE_two
Arizona,2010,FALSE,none,1480954,16008,1480954,16008,FALSE,Arizona_FALSE_none
Arizona,2010,FALSE,one,119314,1206,119314,1206,FALSE,Arizona_FALSE_one
Arizona,2010,FALSE,two,187997,1726,187997,1726,FALSE,Arizona_FALSE_two
Arizona,2010,TRUE,none,21035,246,21035,246,FALSE,Arizona_TRUE_none
Arizona,2010,TRUE,one,1847,15,1847,15,FALSE,Arizona_TRUE_one
Arizona,2010,TRUE,two,310,2,310,2,FALSE,Arizona_TRUE_two
Arizona,2011,FALSE,none,1419893,14988,1419893,14988,FALSE,Arizona_FALSE_none
Arizona,2011,FALSE,one,116907,1187,116907,1187,FALSE,Arizona_FALSE_one
Arizona,2011,FALSE,two,190447,1764,190447,1764,FALSE,Arizona_FALSE_two
Arizona,2011,TRUE,none,20149,218,20149,218,FALSE,Arizona_TRUE_none
Arizona,2011,TRUE,one,2095,21,2095,21,FALSE,Arizona_TRUE_one
Arizona,2011,TRUE,two,385,4,385,4,FALSE,Arizona_TRUE_two
Arizona,2012,FALSE,none,1422384,15265,1422384,15265,FALSE,Arizona_FALSE_none
Arizona,2012,FALSE,one,114644,1150,114644,1150,FALSE,Arizona_FALSE_one
Arizona,2012,FALSE,two,182147,1789,182147,1789,FALSE,Arizona_FALSE_two
Arizona,2012,TRUE,none,25550,276,25550,276,FALSE,Arizona_TRUE_none
Arizona,2012,TRUE,one,629,7,629,7,FALSE,Arizona_TRUE_one
Arizona,2012,TRUE,two,102,2,102,2,FALSE,Arizona_TRUE_two
Arizona,2013,FALSE,none,1433450,15649,1433450,15649,FALSE,Arizona_FALSE_none
Arizona,2013,FALSE,one,118296,1250,118296,1250,FALSE,Arizona_FALSE_one
Arizona,2013,FALSE,two,189953,1743,189953,1743,FALSE,Arizona_FALSE_two
Arizona,2013,TRUE,none,22301,274,22301,274,FALSE,Arizona_TRUE_none
Arizona,2013,TRUE,one,1058,18,1058,18,FALSE,Arizona_TRUE_one
