bpld,same_sex,coef,_low,_upp,n_same_sex,n,origin_score
Republic of Georgia,TRUE,0.5710523487047189,-0.0710042075152151,1.2131089049246528,7,692,1.3
Romania,TRUE,0.34186736827902586,0.18190778655551218,0.5018269500025395,23,5921,2.5
Rwanda,TRUE,0,0,0,0,48,-0.8
Saudi Arabia,TRUE,0.3548927160718366,0.1260261506638672,0.5837592814798059,10,1476,-2.9
Scotland,TRUE,0.8936357454298173,0.3915572662888127,1.3957142245708218,14,1355,3.8
Senegal,TRUE,0.34763692202695784,-0.07663874443304165,0.7719125884869573,4,687,0
Sierra Leone,TRUE,0.8429022811344019,-0.08300969001288072,1.7688142522816845,7,802,0
Singapore,TRUE,2.278938074050689,1.124352006281825,3.433524141819553,27,1021,-0
Slovakia,TRUE,0.6620315594964306,0.16591011497646405,1.1581530040163972,8,789,2.2
South Africa (Union of),TRUE,1.850726450986901,1.3300980286445658,2.3713548733292367,76,4180,5.5
Spain,TRUE,2.2107260431701343,1.4574242577441252,2.964027828596144,59,2912,6.3
Sri Lanka (Ceylon),TRUE,0.27352663185129317,-0.07612443344676618,0.6231776971493526,6,2082,0
Sudan,TRUE,0.28354888136150425,-0.03004026266370534,0.5971380253867139,6,1227,-1.4
Sweden,TRUE,1.9897356395846746,1.0796692008516688,2.89980207831768,30,1680,6
Switzerland,TRUE,1.6720370045517075,0.7310039835329064,2.6130700255705084,19,1234,3.9
Syria,TRUE,0.49293943402412693,0.06284813610072434,0.9230307319475295,11,2223,-1
Tanzania,TRUE,0.2517181419226629,-0.1609057241090671,0.6643420079543929,2,553,-1
Thailand,TRUE,1.5503758157873027,1.0963557187056137,2.0043959128689917,79,4390,2.4
Togo,TRUE,0,0,0,0,544,0
Trinidad and Tobago,TRUE,0.7965332643435691,0.472167799477308,1.12089872920983,37,3671,-1
Tunisia,TRUE,0,0,0,0,113,-0.6
Turkey,TRUE,0.9542865938125289,0.5860414506535938,1.322531736971464,49,4425,1
